time,x,y,psi,u,v,r,throttle,rudder_angle_deg
44.399999999999615,125.75882829777484,39.41577872887421,0.6616654423240896,3.500140843201457,0.02341650763508404,0.023066583391128534,0.8,35.0
44.44999999999961,125.8960748049026,39.524367684233255,0.6628192026802522,3.500106209310668,0.022858290412939415,0.023075207123251548,0.8,35.0
44.49999999999961,126.0332117403932,39.63309189313624,0.6639733947240734,3.500071400803851,0.022299332020756787,0.023083840876423466,0.8,35.0
44.549999999999606,126.17023894388147,39.74195127195056,0.6651280189581631,3.500036418257852,0.02173963042397095,0.023092484681794163,0.8,35.0
44.5999999999996,126.30715625508132,39.85094573684469,0.6662830758866928,3.50000126224056,0.021179183579370944,0.023101138570594145,0.8,35.0
44.6499999999996,126.44396351378585,39.96007520378794,0.6674385660153995,3.4999659333109774,0.020617989435075708,0.02310980257413519,0.8,35.0
44.6999999999996,126.58066055986731,40.06933958855025,0.6685944898515901,3.499930432019289,0.020056045930509445,0.02311847672381097,0.8,35.0
44.749999999999595,126.71724723327719,40.17873880670201,0.669750847904145,3.499894758906932,0.019493350996376686,0.02312716105109768,0.8,35.0
44.79999999999959,126.85372337404627,40.28827277361381,0.6709076406835227,3.4998589145066594,0.018929902554637036,0.02313585558755467,0.8,35.0
44.84999999999959,126.99008882228462,40.39794140445629,0.672064868701764,3.499822899342613,0.018365698518479648,0.023144560364825078,0.8,35.0
44.89999999999959,127.12634341818175,40.507744614199886,0.6732225324724957,3.4997867139303844,0.017800736792297392,0.02315327541463645,0.8,35.0
44.949999999999584,127.26248700200657,40.61768231761465,0.6743806325109358,3.4997503587770846,0.017235015271660714,0.023162000768801382,0.8,35.0
44.99999999999958,127.39851941410754,40.72775442927004,0.6755391693338967,3.499713834381406,0.016668531843291215,0.023170736459218137,0.8,35.0
45.04999999999958,127.5344404949127,40.83796086353474,0.6766981434597903,3.499677141233689,0.01610128438503491,0.023179482517871285,0.8,35.0
45.099999999999575,127.67025008492975,40.94830153457642,0.6778575554086319,3.499640279815983,0.015533270765835204,0.023188238976832337,0.8,35.0
45.14999999999957,127.80594802474614,41.05877635636159,0.6790174057020449,3.499603250602112,0.014964488845705568,0.023197005868260363,0.8,35.0
45.19999999999957,127.94153415502917,41.16938524265536,0.6801776948632651,3.499566054057735,0.014394936475701907,0.02320578322440264,0.8,35.0
45.24999999999957,128.07700831652605,41.28012810702126,0.6813384234171448,3.4995286906404073,0.013824611497894632,0.02321457107759527,0.8,35.0
45.299999999999564,128.21237035006402,41.391004862821056,0.682499591890158,3.499491160799643,0.01325351174534044,0.023223369460263824,0.8,35.0
45.34999999999956,128.34762009655043,41.502015423214544,0.6836612008104042,3.4994534649769733,0.012681635042053769,0.02323217840492397,0.8,35.0
45.39999999999956,128.4827573969729,41.61315970115936,0.6848232507076133,3.499415603606008,0.012108979202977986,0.023240997944182103,0.8,35.0
45.449999999999555,128.61778209239932,41.72443760941079,0.6859857421131501,3.499377577112492,0.011535542033956254,0.02324982811073599,0.8,35.0
45.49999999999955,128.75269402397814,41.83584906052159,0.6871486755600189,3.499339385914366,0.010961321331702089,0.0232586689373754,0.8,35.0
45.54999999999955,128.8874930329383,41.94739396684177,0.688312051582868,3.4993010304218233,0.010386314883769636,0.023267520456982736,0.8,35.0
45.59999999999955,129.02217896058946,42.059072240518454,0.6894758707179947,3.4992625110373647,0.00981052046852363,0.023276382702533682,0.8,35.0
45.649999999999544,129.1567516483221,42.17088379349565,0.6906401335033495,3.4992238281558588,0.009233935855109053,0.023285255707097833,0.8,35.0
45.69999999999954,129.2912109376077,42.28282853751408,0.6918048404785415,3.499184982164594,0.008656558803420492,0.023294139503839333,0.8,35.0
45.74999999999954,129.4255566699988,42.39490638411101,0.6929699921848423,3.4991459734433366,0.008078387064071189,0.023303034126017523,0.8,35.0
45.799999999999535,129.55978868712918,42.507117244620055,0.6941355891651917,3.4991068023643828,0.007499418378361797,0.023311939606987568,0.8,35.0
45.84999999999953,129.69390683071404,42.619461030170996,0.6953016319642017,3.4990674692926143,0.0069196504782488115,0.023320855980201113,0.8,35.0
45.89999999999953,129.82791094255006,42.73193765168961,0.696468121128162,3.4990279745855513,0.006339081086312715,0.023329783279206918,0.8,35.0
45.94999999999953,129.96180086451568,42.84454701989748,0.6976350572050446,3.4989883185934048,0.005757707915725797,0.0233387215376515,0.8,35.0
45.999999999999524,130.09557643857113,42.95728904531184,0.6988024407445086,3.498948501659129,0.0051755286702196935,0.023347670789279778,0.8,35.0
46.04999999999952,130.22923750675872,43.070163638245354,0.6999702722979054,3.4989085241184728,0.0045925410440525805,0.02335663106793573,0.8,35.0
46.09999999999952,130.3627839112029,43.183170708806,0.7011385524182836,3.4988683863000314,0.004008742721976104,0.02336560240756302,0.8,35.0
46.149999999999515,130.49621549411052,43.29631016689686,0.7023072816603939,3.4988280885252956,0.0034241313792019606,0.023374584842205667,0.8,35.0
46.19999999999951,130.6295320977709,43.40958192221595,0.7034764605806944,3.4987876311087027,0.00283870468136819,0.023383578406008677,0.8,35.0
46.24999999999951,130.76273356455613,43.52298588425605,0.7046460897373553,3.4987470143576846,0.0022524602845051603,0.023392583133218705,0.8,35.0
46.29999999999951,130.89581973692123,43.636521962304556,0.7058161696902645,3.4987062385727175,0.0016653958350012223,0.023401599058184706,0.8,35.0
46.349999999999504,131.02879045740423,43.750190065443284,0.7069867010010324,3.4986653040473694,0.0010775089695680687,0.023410626215358582,0.8,35.0
46.3999999999995,131.1616455686265,43.863990102548314,0.7081576842329972,3.498624211068349,0.0004887973152057785,0.02341966463929584,0.8,35.0
46.4499999999995,131.29438491329293,43.977921982289814,0.70932911995123,3.498582959915551,-0.00010074151083245858,0.023428714364656256,0.8,35.0
46.499999999999496,131.4270083341904,44.09198561313378,0.7105010087225403,3.4985415508621034,-0.0006911098516610588,0.023437775426204517,0.8,35.0
46.54999999999949,131.55951567411702,44.206180903424254,0.7116733511154801,3.4984999841744564,-0.0012823078829688483,0.02344684785879729,0.8,35.0
46.59999999999949,131.69190677584362,44.32050776142729,0.7128461477003194,3.4984582601142864,-0.0018743346176526986,0.023455931696784723,0.8,35.0
46.64999999999949,131.82418148211326,44.43496609533056,0.7140193990490044,3.498416378939532,-0.0024671890716190703,0.023465026973698393,0.8,35.0
46.699999999999484,131.95633963564075,44.54955581324306,0.7151931057351176,3.498374340904425,-0.0030608702635798422,0.02347413372226536,0.8,35.0
